rph_ID,idhogar,enc_region,enc_rpc,P_AUMENTO_COM,P_INSEG_LUGARES_14,SCREEN_INT_RDV,SCREEN_INT_RFV,SCREEN_INT_RVI,SCREEN_ROB_HUR
00-68-11-81_2,00-68-11-81-H1,13,13128,2.0,3.0,,2.0,2.0,2.0
00-68-22-20_1,00-68-22-20-H1,12,12101,2.0,85.0,,2.0,2.0,2.0
00-68-25-69_2,00-68-25-69-H1,1,1101,3.0,3.0,,2.0,1.0,2.0
00-68-57-35_1,00-68-57-35-H1,5,5801,1.0,3.0,2.0,2.0,2.0,2.0
00-68-62-00_2,00-68-62-00-H1,6,6101,1.0,3.0,2.0,2.0,2.0,2.0
00-68-85-87_1,00-68-85-87-H1,16,16101,1.0,3.0,,2.0,2.0,2.0
00-68-89-97_1,00-68-89-97-H1,13,13401,1.0,85.0,,2.0,2.0,2.0
00-69-13-43_1,00-69-13-43-H1,13,13201,88.0,85.0,,2.0,2.0,2.0
00-69-21-21_3,00-69-21-21-H1,4,4203,1.0,3.0,2.0,1.0,2.0,2.0
00-69-49-42_1,00-69-49-42-H1,8,8110,2.0,85.0,2.0,2.0,2.0,2.0
00-69-62-48_2,00-69-62-48-H1,15,15101,1.0,85.0,2.0,2.0,2.0,2.0
00-69-72-31_1,00-69-72-31-H1,4,4203,2.0,3.0,,2.0,2.0,2.0
00-69-80-89_3,00-69-80-89-H1,13,13106,1.0,85.0,2.0,2.0,2.0,2.0
00-70-38-72_3,00-70-38-72-H1,7,7406,1.0,85.0,2.0,2.0,2.0,1.0
00-70-69-05_3,00-70-69-05-H1,11,11201,1.0,3.0,2.0,2.0,2.0,2.0
00-70-96-26_3,00-70-96-26-H1,8,8201,1.0,2.0,2.0,2.0,2.0,2.0
00-71-77-08_1,00-71-77-08-H1,14,14108,1.0,85.0,2.0,2.0,2.0,2.0
00-72-07-16_1,00-72-07-16-H1,16,16101,1.0,3.0,,2.0,2.0,2.0
00-72-23-97_1,00-72-23-97-H1,14,14201,2.0,4.0,2.0,2.0,2.0,2.0
00-72-24-60_1,00-72-24-60-H1,13,13132,1.0,3.0,2.0,2.0,2.0,2.0
00-72-33-03_1,00-72-33-03-H1,8,8103,1.0,85.0,,2.0,2.0,2.0
00-72-43-71_1,00-72-43-71-H1,8,8112,2.0,3.0,,2.0,2.0,2.0
00-72-62-77_4,00-72-62-77-H1,13,13402,1.0,3.0,2.0,2.0,2.0,2.0
00-72-87-31_1,00-72-87-31-H1,13,13123,1.0,2.0,2.0,1.0,1.0,2.0
00-73-07-98_1,00-73-07-98-H1,5,5301,2.0,85.0,2.0,2.0,2.0,2.0
00-73-14-43_1,00-73-14-43-H1,13,13101,1.0,3.0,,2.0,2.0,2.0
00-73-20-00_1,00-73-20-00-H1,13,13126,1.0,85.0,2.0,2.0,2.0,2.0
00-73-23-49_1,00-73-23-49-H1,12,12401,1.0,4.0,2.0,2.0,2.0,2.0
00-73-25-66_1,00-73-25-66-H1,5,5701,1.0,2.0,,1.0,2.0,2.0
00-73-32-97_2,00-73-32-97-H1,7,7101,2.0,2.0,,2.0,2.0,2.0
00-73-35-29_1,00-73-35-29-H1,5,5804,1.0,3.0,2.0,2.0,2.0,2.0
00-73-77-27_1,00-73-77-27-H1,8,8111,1.0,2.0,2.0,2.0,2.0,2.0
00-73-84-75_1,00-73-84-75-H1,13,13402,1.0,85.0,,2.0,2.0,2.0
00-73-94-08_2,00-73-94-08-H1,12,12101,2.0,3.0,2.0,2.0,2.0,2.0
00-74-05-76_4,00-74-05-76-H1,2,2201,1.0,85.0,2.0,2.0,2.0,2.0
